experiment_name,exp_timestamp,time_s,tput
-4_90%,2025-10-22-20-32-31,15.0,3842.3333333333335
-4_90%,2025-10-22-20-32-31,18.0,3831.6666666666665
-4_90%,2025-10-22-20-32-31,21.0,3871.6666666666665
-4_90%,2025-10-22-20-32-31,24.0,3768.3333333333335
-4_90%,2025-10-22-20-32-31,27.0,3793.0
-4_90%,2025-10-22-20-32-31,30.0,3699.3333333333335
-4_90%,2025-10-22-20-32-31,33.0,4418.333333333333
-4_90%,2025-10-22-20-32-31,36.0,4183.333333333333
-4_90%,2025-10-22-20-32-31,39.0,4491.333333333333
-4_90%,2025-10-22-20-32-31,42.0,4455.666666666667
-4_90%,2025-10-22-20-32-31,45.0,4359.0
-4_90%,2025-10-22-20-32-31,48.0,4382.0
-4_90%,2025-10-22-20-32-31,51.0,4359.0
-4_90%,2025-10-22-20-32-31,54.0,4492.666666666667
-4_90%,2025-10-22-20-32-31,57.0,4428.666666666667
-4_90%,2025-10-22-20-32-31,60.0,4409.333333333333
policy1,2025-10-22-17-47-54,3.0,4593.333333333333
policy1,2025-10-22-17-47-54,6.0,4612.0
policy1,2025-10-22-17-47-54,9.0,4510.333333333333
policy1,2025-10-22-17-47-54,12.0,4445.0
policy1,2025-10-22-17-47-54,15.0,4435.666666666667
policy1,2025-10-22-17-47-54,18.0,4570.333333333333
policy1,2025-10-22-17-47-54,21.0,4557.666666666667
policy1,2025-10-22-17-47-54,24.0,4514.0
policy1,2025-10-22-17-47-54,27.0,4492.0
policy1,2025-10-22-17-47-54,30.0,4527.0
policy1,2025-10-22-17-47-54,33.0,4494.333333333333
policy1,2025-10-22-17-47-54,36.0,4504.0
policy1,2025-10-22-17-47-54,39.0,4419.333333333333
policy1,2025-10-22-17-47-54,42.0,4400.333333333333
policy1,2025-10-22-17-47-54,45.0,4448.0
policy1,2025-10-22-17-47-54,48.0,4549.333333333333
policy1,2025-10-22-17-47-54,51.0,4410.333333333333
policy1,2025-10-22-17-47-54,54.0,4390.666666666667
policy1,2025-10-22-17-47-54,57.0,4506.0
policy1,2025-10-22-17-47-54,60.0,4550.333333333333
policy1,2025-10-22-19-59-36,3.0,4600.666666666667
policy1,2025-10-22-19-59-36,6.0,4595.0
policy1,2025-10-22-19-59-36,9.0,4710.0
policy1,2025-10-22-19-59-36,12.0,4482.666666666667
policy1,2025-10-22-19-59-36,15.0,4633.666666666667
policy1,2025-10-22-19-59-36,18.0,4692.0
policy1,2025-10-22-19-59-36,21.0,4671.0
policy1,2025-10-22-19-59-36,24.0,4703.0
policy1,2025-10-22-19-59-36,27.0,4568.0
policy1,2025-10-22-19-59-36,30.0,4603.0
policy1,2025-10-22-19-59-36,33.0,4586.666666666667
policy1,2025-10-22-19-59-36,36.0,4558.666666666667
policy1,2025-10-22-19-59-36,39.0,4638.333333333333
policy1,2025-10-22-19-59-36,42.0,4621.666666666667
policy1,2025-10-22-19-59-36,45.0,4695.666666666667
policy1,2025-10-22-19-59-36,48.0,4652.333333333333
policy1,2025-10-22-19-59-36,51.0,4695.666666666667
policy1,2025-10-22-19-59-36,54.0,4693.333333333333
policy1,2025-10-22-19-59-36,57.0,4663.0
policy1,2025-10-22-19-59-36,60.0,4681.0
policy1,2025-10-22-20-02-36,3.0,4723.0
policy1,2025-10-22-20-02-36,6.0,4691.333333333333
policy1,2025-10-22-20-02-36,9.0,4695.333333333333
policy1,2025-10-22-20-02-36,12.0,4660.0
policy1,2025-10-22-20-02-36,15.0,4716.0
policy1,2025-10-22-20-02-36,18.0,4688.0
policy1,2025-10-22-20-02-36,21.0,4629.333333333333
policy1,2025-10-22-20-02-36,24.0,4663.666666666667
policy1,2025-10-22-20-02-36,27.0,4636.666666666667
policy1,2025-10-22-20-02-36,30.0,4667.333333333333
policy1,2025-10-22-20-02-36,33.0,4656.666666666667
policy1,2025-10-22-20-02-36,36.0,4542.333333333333
policy1,2025-10-22-20-02-36,39.0,4625.666666666667
policy1,2025-10-22-20-02-36,42.0,4604.666666666667
policy1,2025-10-22-20-02-36,45.0,4717.333333333333
policy1,2025-10-22-20-02-36,48.0,4616.333333333333
policy1,2025-10-22-20-02-36,51.0,4708.333333333333
policy1,2025-10-22-20-02-36,54.0,4602.0
policy1,2025-10-22-20-02-36,57.0,4707.666666666667
policy1,2025-10-22-20-02-36,60.0,4648.333333333333
policy5,2025-10-22-17-50-54,3.0,3689.3333333333335
policy5,2025-10-22-17-50-54,6.0,3743.6666666666665
policy5,2025-10-22-17-50-54,9.0,3638.0
policy5,2025-10-22-17-50-54,12.0,3652.3333333333335
policy5,2025-10-22-17-50-54,15.0,3722.0
policy5,2025-10-22-17-50-54,18.0,3527.0
policy5,2025-10-22-17-50-54,21.0,3641.0
policy5,2025-10-22-17-50-54,24.0,3622.0
policy5,2025-10-22-17-50-54,27.0,3619.3333333333335
policy5,2025-10-22-17-50-54,30.0,3550.0
policy5,2025-10-22-17-50-54,33.0,3711.0
policy5,2025-10-22-17-50-54,36.0,3647.3333333333335
policy5,2025-10-22-17-50-54,39.0,3712.3333333333335
policy5,2025-10-22-17-50-54,42.0,3743.3333333333335
policy5,2025-10-22-17-50-54,45.0,3726.6666666666665
policy5,2025-10-22-17-50-54,48.0,3779.0
policy5,2025-10-22-17-50-54,51.0,3711.0
policy5,2025-10-22-17-50-54,54.0,3707.3333333333335
policy5,2025-10-22-17-50-54,57.0,3716.3333333333335
policy5,2025-10-22-17-50-54,60.0,3708.0
policy5,2025-10-22-20-05-36,3.0,3805.6666666666665
policy5,2025-10-22-20-05-36,6.0,3765.6666666666665
policy5,2025-10-22-20-05-36,9.0,3774.3333333333335
