experiment_name,num_clients,timestamp,tput,latency
basil-SMALLBANK,32,2025-11-27-20-57-17,6922.433333333333,4.703270266423655
basil-SMALLBANK,52,2025-11-27-20-59-38,12289.166666666666,4.299824347970435
basil-SMALLBANK,72,2025-11-27-21-01-51,15864.933333333332,4.608936343909419
basil-SMALLBANK,92,2025-11-27-21-04-05,17312.9,5.395677652218865
basil-SMALLBANK,112,2025-11-27-21-06-20,17710.8,6.428048509992017
basil-SMALLBANK,132,2025-11-27-21-08-35,17424.433333333334,7.713140446646759
sintr-SMALLBANK-policy1,32,2025-11-27-23-53-29,5346.466666666666,6.1072106370063715
sintr-SMALLBANK-policy1,52,2025-11-27-23-55-46,10418.066666666668,5.086967992375425
sintr-SMALLBANK-policy1,72,2025-11-27-23-58-00,13440.166666666666,5.4566922181520585
sintr-SMALLBANK-policy1,92,2025-11-28-00-00-14,14865.933333333332,6.304762202947233
sintr-SMALLBANK-policy1,112,2025-11-28-00-02-29,14857.366666666667,7.689100053742139
sintr-SMALLBANK-policy1,132,2025-11-28-00-04-43,14788.7,9.116479464171968
sintr-SMALLBANK-policy2,32,2025-11-28-00-08-07,5429.0,6.016267954994781
sintr-SMALLBANK-policy2,52,2025-11-28-00-10-23,9665.166666666666,5.488852770405751
sintr-SMALLBANK-policy2,72,2025-11-28-00-12-37,12685.033333333333,5.7871838797690724
sintr-SMALLBANK-policy2,92,2025-11-28-00-14-51,14317.666666666666,6.550578291500012
sintr-SMALLBANK-policy2,112,2025-11-28-00-17-07,15111.7,7.555688170055871
sintr-SMALLBANK-policy2,132,2025-11-28-00-19-23,14811.2,9.096380804488046
