experiment_name,exp_timestamp,time_s,tput
1_table,2025-10-28-21-35-35,2.5,4600.0
1_table,2025-10-28-21-35-35,5.0,4572.8
1_table,2025-10-28-21-35-35,7.5,4642.4
1_table,2025-10-28-21-35-35,10.0,4584.4
1_table,2025-10-28-21-35-35,12.5,4567.6
1_table,2025-10-28-21-35-35,15.0,4564.4
1_table,2025-10-28-21-35-35,17.5,4519.2
1_table,2025-10-28-21-35-35,20.0,4487.6
1_table,2025-10-28-21-35-35,22.5,4454.4
1_table,2025-10-28-21-35-35,25.0,4501.2
1_table,2025-10-28-21-35-35,27.5,4240.4
1_table,2025-10-28-21-35-35,30.0,4471.2
1_table,2025-10-28-21-35-35,32.5,4399.2
1_table,2025-10-28-21-35-35,35.0,4172.4
1_table,2025-10-28-21-35-35,37.5,4358.4
1_table,2025-10-28-21-35-35,40.0,4297.2
1_table,2025-10-28-21-35-35,42.5,4416.8
1_table,2025-10-28-21-35-35,45.0,4432.0
1_table,2025-10-28-21-35-35,47.5,4475.6
1_table,2025-10-28-21-35-35,50.0,4629.2
1_table,2025-10-28-21-35-35,52.5,4610.8
1_table,2025-10-28-21-35-35,55.0,4554.8
1_table,2025-10-28-21-35-35,57.5,4220.8
1_table,2025-10-28-21-35-35,60.0,4571.6
1_table,2025-10-28-21-38-35,2.5,4322.8
1_table,2025-10-28-21-38-35,5.0,4590.8
1_table,2025-10-28-21-38-35,7.5,4628.8
1_table,2025-10-28-21-38-35,10.0,4481.2
1_table,2025-10-28-21-38-35,12.5,4448.4
1_table,2025-10-28-21-38-35,15.0,4452.0
1_table,2025-10-28-21-38-35,17.5,4444.4
1_table,2025-10-28-21-38-35,20.0,4403.2
1_table,2025-10-28-21-38-35,22.5,4497.6
1_table,2025-10-28-21-38-35,25.0,4428.8
1_table,2025-10-28-21-38-35,27.5,4420.4
1_table,2025-10-28-21-38-35,30.0,4305.6
1_table,2025-10-28-21-38-35,32.5,4296.0
1_table,2025-10-28-21-38-35,35.0,4343.6
1_table,2025-10-28-21-38-35,37.5,4327.2
1_table,2025-10-28-21-38-35,40.0,4305.6
1_table,2025-10-28-21-38-35,42.5,4256.4
1_table,2025-10-28-21-38-35,45.0,4370.0
1_table,2025-10-28-21-38-35,47.5,4304.0
1_table,2025-10-28-21-38-35,50.0,4579.6
1_table,2025-10-28-21-38-35,52.5,4483.2
1_table,2025-10-28-21-38-35,55.0,4528.8
1_table,2025-10-28-21-38-35,57.5,4600.4
1_table,2025-10-28-21-38-35,60.0,4515.6
1_table,2025-10-28-22-28-56,2.5,4686.8
1_table,2025-10-28-22-28-56,5.0,4435.2
1_table,2025-10-28-22-28-56,7.5,4500.4
1_table,2025-10-28-22-28-56,10.0,4341.2
1_table,2025-10-28-22-28-56,12.5,4407.2
1_table,2025-10-28-22-28-56,15.0,4564.4
1_table,2025-10-28-22-28-56,17.5,4306.8
1_table,2025-10-28-22-28-56,20.0,4370.0
1_table,2025-10-28-22-28-56,22.5,4365.2
1_table,2025-10-28-22-28-56,25.0,4498.8
1_table,2025-10-28-22-28-56,27.5,4390.8
1_table,2025-10-28-22-28-56,30.0,4385.2
1_table,2025-10-28-22-28-56,32.5,4430.4
1_table,2025-10-28-22-28-56,35.0,4425.6
1_table,2025-10-28-22-28-56,37.5,4314.0
1_table,2025-10-28-22-28-56,40.0,4168.8
1_table,2025-10-28-22-28-56,42.5,4027.6
1_table,2025-10-28-22-28-56,45.0,4345.2
1_table,2025-10-28-22-28-56,47.5,4406.0
1_table,2025-10-28-22-28-56,50.0,4586.0
1_table,2025-10-28-22-28-56,52.5,4470.8
1_table,2025-10-28-22-28-56,55.0,4554.0
1_table,2025-10-28-22-28-56,57.5,4364.8
1_table,2025-10-28-22-28-56,60.0,4543.6
9_table,2025-10-28-21-41-35,2.5,4684.4
9_table,2025-10-28-21-41-35,5.0,4621.6
9_table,2025-10-28-21-41-35,7.5,4633.6
9_table,2025-10-28-21-41-35,10.0,4621.6
9_table,2025-10-28-21-41-35,12.5,4286.0
9_table,2025-10-28-21-41-35,15.0,4471.6
9_table,2025-10-28-21-41-35,17.5,3900.0
9_table,2025-10-28-21-41-35,20.0,3950.4
9_table,2025-10-28-21-41-35,22.5,3752.8
9_table,2025-10-28-21-41-35,25.0,3917.2
9_table,2025-10-28-21-41-35,27.5,3947.2
9_table,2025-10-28-21-41-35,30.0,3918.0
9_table,2025-10-28-21-41-35,32.5,3890.8
9_table,2025-10-28-21-41-35,35.0,3819.6
9_table,2025-10-28-21-41-35,37.5,3884.8
9_table,2025-10-28-21-41-35,40.0,3952.0
9_table,2025-10-28-21-41-35,42.5,3813.6
9_table,2025-10-28-21-41-35,45.0,3691.2
9_table,2025-10-28-21-41-35,47.5,4383.6
9_table,2025-10-28-21-41-35,50.0,4568.0
9_table,2025-10-28-21-41-35,52.5,4511.6
9_table,2025-10-28-21-41-35,55.0,4534.8
9_table,2025-10-28-21-41-35,57.5,4561.2
9_table,2025-10-28-21-41-35,60.0,4574.8
9_table,2025-10-28-21-44-35,2.5,4685.2
9_table,2025-10-28-21-44-35,5.0,4694.0
9_table,2025-10-28-21-44-35,7.5,4495.6
9_table,2025-10-28-21-44-35,10.0,4588.8
9_table,2025-10-28-21-44-35,12.5,4545.2
9_table,2025-10-28-21-44-35,15.0,4475.6
9_table,2025-10-28-21-44-35,17.5,3775.2
9_table,2025-10-28-21-44-35,20.0,3834.0
9_table,2025-10-28-21-44-35,22.5,3790.4
9_table,2025-10-28-21-44-35,25.0,3943.6
9_table,2025-10-28-21-44-35,27.5,3904.4
9_table,2025-10-28-21-44-35,30.0,3911.2
9_table,2025-10-28-21-44-35,32.5,3837.6
9_table,2025-10-28-21-44-35,35.0,3869.2
9_table,2025-10-28-21-44-35,37.5,3909.6
9_table,2025-10-28-21-44-35,40.0,3874.4
9_table,2025-10-28-21-44-35,42.5,3914.4
9_table,2025-10-28-21-44-35,45.0,3725.2
9_table,2025-10-28-21-44-35,47.5,4311.2
9_table,2025-10-28-21-44-35,50.0,4546.0
9_table,2025-10-28-21-44-35,52.5,4520.8
9_table,2025-10-28-21-44-35,55.0,4652.4
9_table,2025-10-28-21-44-35,57.5,4608.8
9_table,2025-10-28-21-44-35,60.0,4506.8
9_table,2025-10-28-21-47-35,2.5,4542.8
9_table,2025-10-28-21-47-35,5.0,4716.4
9_table,2025-10-28-21-47-35,7.5,4661.6
9_table,2025-10-28-21-47-35,10.0,4401.6
9_table,2025-10-28-21-47-35,12.5,4482.0
9_table,2025-10-28-21-47-35,15.0,4477.6
9_table,2025-10-28-21-47-35,17.5,3912.8
9_table,2025-10-28-21-47-35,20.0,3753.2
9_table,2025-10-28-21-47-35,22.5,3813.6
9_table,2025-10-28-21-47-35,25.0,3812.4
