experiment_name,num_clients,num_byz_clients,tput_per_correct_client,tput_std_dev,exp_timestamp
ddos-delay-0,20,0,143.04666666666668,8.915781395634195,2026-03-26-16-14-26
ddos-delay-0,20,1,144.03508771929825,12.053827186315427,2026-03-26-16-17-52
ddos-delay-0,20,2,142.94074074074075,9.905993139136612,2026-03-26-16-21-14
ddos-delay-0,20,3,142.8019607843137,11.351514036243474,2026-03-26-16-24-35
ddos-delay-0,20,4,144.42916666666667,9.948726886726092,2026-03-26-16-27-57
ddos-delay-0,20,5,141.0711111111111,11.795821607985067,2026-03-26-18-44-31
ddos-delay-2,20,0,77.39666666666668,5.905383607823928,2026-03-26-16-34-40
ddos-delay-2,20,1,75.62982456140352,6.959431780558823,2026-03-26-16-38-01
ddos-delay-2,20,2,74.09444444444443,9.442362131076052,2026-03-26-16-41-23
ddos-delay-2,20,3,74.08823529411765,9.4724889752177,2026-03-26-16-44-43
ddos-delay-2,20,4,72.15833333333333,7.7399636327980925,2026-03-26-16-48-05
ddos-delay-2,20,5,73.05777777777779,5.456123204554715,2026-03-26-16-51-26
ddos-delay-4,20,0,47.57000000000001,4.366738984267911,2026-03-26-16-54-47
ddos-delay-4,20,1,47.47719298245614,4.791106120276454,2026-03-26-16-58-08
ddos-delay-4,20,2,45.82592592592592,5.455530929220406,2026-03-26-17-01-29
ddos-delay-4,20,3,44.213725490196076,4.219038509863641,2026-03-26-17-04-49
ddos-delay-4,20,4,39.985416666666666,2.9619805373607213,2026-03-26-17-08-11
ddos-delay-4,20,5,36.36444444444444,3.85273489064147,2026-03-26-17-11-32
ignore-val-delay-0,20,0,146.57833333333332,8.353185301330418,2026-03-26-17-14-52
ignore-val-delay-0,20,1,143.52105263157898,10.84726289949019,2026-03-26-17-18-13
ignore-val-delay-0,20,2,143.64074074074074,10.90857763806508,2026-03-26-17-21-35
ignore-val-delay-0,20,3,144.18823529411767,8.291427477090002,2026-03-26-17-24-57
ignore-val-delay-0,20,4,144.6625,7.26338228528708,2026-03-26-17-28-19
ignore-val-delay-0,20,5,141.6288888888889,10.645647942038105,2026-03-26-18-47-53
ignore-val-delay-2,20,0,75.39000000000001,5.434781854055376,2026-03-26-17-35-02
ignore-val-delay-2,20,1,77.60350877192982,7.316334631264974,2026-03-26-20-49-20
ignore-val-delay-2,20,2,76.36111111111111,6.241661103691334,2026-03-26-17-41-45
ignore-val-delay-2,20,3,75.0372549019608,5.998574857980633,2026-03-26-17-45-05
ignore-val-delay-2,20,4,76.51875,4.915055762465789,2026-03-26-17-48-27
ignore-val-delay-2,20,5,74.33333333333333,5.337319938600657,2026-03-26-17-51-48
ignore-val-delay-4,20,0,47.15,4.292186563638167,2026-03-26-17-55-10
ignore-val-delay-4,20,1,46.38947368421053,3.591056322319587,2026-03-26-17-58-31
ignore-val-delay-4,20,2,46.77037037037037,4.734063584774856,2026-03-26-18-01-52
ignore-val-delay-4,20,3,46.87647058823529,3.78608132040318,2026-03-26-18-05-13
ignore-val-delay-4,20,4,45.80208333333333,2.229880207710884,2026-03-26-18-08-34
ignore-val-delay-4,20,5,45.89333333333333,3.4939675905493925,2026-03-26-18-11-55
