experiment_name,num_clients,num_byz_clients,tput_per_correct_client,tput_std_dev,exp_timestamp
ddos-delay0,20,0,155.41666666666669,4.962555698863992,2026-03-18-13-33-31
ddos-delay0,20,1,157.88771929824563,3.65273803149167,2026-03-18-13-35-59
ddos-delay0,20,2,155.93333333333334,4.835070681668679,2026-03-18-13-38-27
ddos-delay0,20,3,154.7019607843137,4.376951478868139,2026-03-18-13-40-55
ddos-delay0,20,4,151.84583333333336,4.3557178257754225,2026-03-18-13-43-23
ddos-delay0,20,5,151.0222222222222,4.0061196573485764,2026-03-18-13-45-51
ddos-delay2,20,0,91.89666666666666,2.7765917936031017,2026-03-18-13-48-20
ddos-delay2,20,1,88.41754385964913,4.261083853614871,2026-03-18-13-50-47
ddos-delay2,20,2,88.9888888888889,2.9303683767624515,2026-03-18-13-53-15
ddos-delay2,20,3,87.54117647058823,3.2089399732051676,2026-03-18-13-55-43
ddos-delay2,20,4,85.725,3.568161680442436,2026-03-18-13-58-10
ddos-delay2,20,5,83.39555555555556,3.882599903490189,2026-03-18-14-00-38
ddos-delay4,20,0,57.36666666666666,1.6432744375766895,2026-03-18-14-03-05
ddos-delay4,20,1,55.89298245614035,1.0908473853814893,2026-03-18-14-05-33
ddos-delay4,20,2,54.040740740740745,2.584330751296893,2026-03-18-14-08-00
ddos-delay4,20,3,51.490196078431374,3.2690842394630755,2026-03-18-14-10-27
ddos-delay4,20,4,49.770833333333336,1.9466542998085112,2026-03-18-14-12-54
ddos-delay4,20,5,39.87777777777777,1.6983496502168027,2026-03-18-14-15-22
ignore-val-delay0,20,0,156.83166666666668,4.160500349464559,2026-03-21-17-43-36
ignore-val-delay0,20,1,156.79122807017544,3.835471901129439,2026-03-21-17-46-57
ignore-val-delay0,20,2,155.05740740740742,5.144548552709332,2026-03-21-17-50-18
ignore-val-delay0,20,3,154.9843137254902,4.084508634378643,2026-03-21-17-53-39
ignore-val-delay0,20,4,153.28333333333336,3.3203078839837152,2026-03-21-17-57-00
ignore-val-delay0,20,5,154.21111111111114,3.7054585789647208,2026-03-21-18-00-21
ignore-val-delay2,20,0,92.74,1.820757505747771,2026-03-21-18-03-42
ignore-val-delay2,20,1,91.01052631578948,2.874602551842451,2026-03-21-18-07-02
ignore-val-delay2,20,2,90.56481481481482,2.2235363761307703,2026-03-21-18-10-24
ignore-val-delay2,20,3,91.8686274509804,3.0748638314077166,2026-03-21-18-13-46
ignore-val-delay2,20,4,90.85416666666666,2.4833333333333343,2026-03-21-18-17-07
ignore-val-delay2,20,5,89.90222222222222,1.1791486481320037,2026-03-21-18-20-28
ignore-val-delay4,20,0,57.68499999999999,2.109418450386364,2026-03-21-18-23-51
ignore-val-delay4,20,1,57.771929824561404,1.3918308023808577,2026-03-21-18-27-12
ignore-val-delay4,20,2,57.86111111111112,1.386218347587978,2026-03-21-18-30-34
ignore-val-delay4,20,3,56.692156862745094,1.615357262331562,2026-03-21-18-33-56
ignore-val-delay4,20,4,56.637499999999996,2.1876378263458633,2026-03-21-18-37-18
ignore-val-delay4,20,5,56.22,1.7521777832534524,2026-03-21-18-40-40
