experiment_name,num_clients,num_byz_clients,tput_per_correct_client,tput_std_dev,exp_timestamp
ddos,20,0,155.70333333333332,30.303152326708066,2025-11-20-16-21-22
ddos,20,2,149.48333333333335,51.93696940378476,2025-11-20-16-28-43
ddos,20,5,140.14444444444447,50.20539980233371,2025-11-20-16-36-04
ignore-val-ideal,20,0,155.14000000000001,20.415220786611197,2025-11-20-16-43-25
ignore-val-ideal,20,2,157.90370370370368,8.853483409495253,2025-11-20-16-50-47
ignore-val-ideal,20,5,153.13777777777779,11.98383081732219,2025-11-20-16-58-08
ignore-val-pessimistic,20,0,158.47,12.871005994934407,2025-11-20-17-05-29
ignore-val-pessimistic,20,2,153.27037037037036,12.519730252940388,2025-11-20-17-12-49
ignore-val-pessimistic,20,5,156.93555555555557,10.775777264836892,2025-11-20-17-20-10
