experiment_name,num_clients,num_byz_clients,tput_per_correct_client,tput_std_dev,exp_timestamp
ddos,20,0,157.75333333333336,4.753015663211812,2026-02-24-10-18-59
ddos,20,2,158.12037037037038,3.8638282159288213,2026-02-24-08-55-38
ddos,20,5,153.00666666666666,2.804395642671508,2026-02-24-09-02-56
ignore-val-ideal,20,0,158.755,3.1047082713666327,2026-02-24-09-05-23
ignore-val-ideal,20,2,158.63888888888886,3.775397654682269,2026-02-24-09-10-17
ignore-val-ideal,20,5,156.03333333333336,3.7325254227862956,2026-02-24-09-17-39
ignore-val-pessimistic,20,0,158.03833333333336,4.8671506007889525,2026-02-24-09-20-06
ignore-val-pessimistic,20,2,156.112962962963,3.6674533717338083,2026-02-24-09-25-00
ignore-val-pessimistic,20,5,155.87555555555554,5.635523196041489,2026-02-24-09-32-22
