experiment_name,num_clients,num_byz_clients,tput_per_correct_client,tput_std_dev,exp_timestamp
ddos-delay-0,20,0,156.34499999999997,2.8148577187147823,2026-03-25-21-52-44
ddos-delay-0,20,1,156.49824561403508,4.336487081489719,2026-03-25-21-56-05
ddos-delay-0,20,2,155.05185185185184,5.115671452325063,2026-03-25-21-59-27
ddos-delay-0,20,3,155.65490196078431,4.232069056233845,2026-03-25-22-02-48
ddos-delay-0,20,4,155.22291666666666,2.4725071621062424,2026-03-25-22-06-09
ddos-delay-0,20,5,154.7,3.3267315577219088,2026-03-25-22-09-31
ddos-delay-2,20,0,102.35499999999999,0.9195266389648991,2026-03-25-22-12-52
ddos-delay-2,20,1,101.36491228070176,2.460288894112869,2026-03-25-22-16-13
ddos-delay-2,20,2,99.84259259259258,3.1630796103862533,2026-03-25-22-19-34
ddos-delay-2,20,3,99.16078431372549,2.693284737961911,2026-03-25-22-22-55
ddos-delay-2,20,4,97.35416666666667,1.6452794426614734,2026-03-25-22-26-15
ddos-delay-2,20,5,91.54,1.7091351196271347,2026-03-25-22-29-36
ddos-delay-4,20,0,63.246666666666684,0.47969288420602446,2026-03-25-22-32-57
ddos-delay-4,20,1,61.136842105263156,2.1215791561145014,2026-03-25-22-36-18
ddos-delay-4,20,2,59.62222222222223,2.504975441153928,2026-03-25-22-39-39
ddos-delay-4,20,3,56.8078431372549,1.465033627399646,2026-03-25-22-42-59
ddos-delay-4,20,4,49.98958333333333,1.0578607868923222,2026-03-25-22-46-20
ddos-delay-4,20,5,46.62888888888889,0.6211697447975482,2026-03-25-22-49-41
ignore-val-delay-0,20,0,156.20999999999998,2.470601413629735,2026-03-25-22-53-01
ignore-val-delay-0,20,1,156.12280701754383,1.692104126308131,2026-03-25-22-56-23
ignore-val-delay-0,20,2,157.1925925925926,1.4716295514408266,2026-03-25-22-59-44
ignore-val-delay-0,20,3,156.35294117647058,2.0515596649436083,2026-03-26-13-07-52
ignore-val-delay-0,20,4,156.85208333333335,1.6889167578109934,2026-03-25-23-06-27
ignore-val-delay-0,20,5,157.34666666666672,1.798270774321202,2026-03-25-23-09-49
ignore-val-delay-2,20,0,101.51333333333332,1.801506841670273,2026-03-25-23-13-10
ignore-val-delay-2,20,1,101.45263157894736,1.7320977002308195,2026-03-25-23-16-31
ignore-val-delay-2,20,2,101.50925925925927,1.3343528237473594,2026-03-25-23-19-52
ignore-val-delay-2,20,3,100.27843137254902,1.8201015377838525,2026-03-25-23-23-13
ignore-val-delay-2,20,4,100.02708333333334,1.24449714670149,2026-03-25-23-26-35
ignore-val-delay-2,20,5,99.61777777777776,1.7814683914202998,2026-03-25-23-29-55
ignore-val-delay-4,20,0,62.663333333333334,0.9543314612919849,2026-03-25-23-33-17
ignore-val-delay-4,20,1,62.37017543859649,1.0557248248397761,2026-03-25-23-36-38
ignore-val-delay-4,20,2,61.170370370370364,1.2585336881860587,2026-03-25-23-39-59
ignore-val-delay-4,20,3,60.950980392156865,0.7414435663565393,2026-03-25-23-43-20
ignore-val-delay-4,20,4,59.8,0.9929380272332841,2026-03-25-23-46-40
ignore-val-delay-4,20,5,59.431111111111115,0.6839969677212394,2026-03-25-23-50-01
