experiment_name,exp_timestamp,time_s,tput
+4_90%,2025-10-22-20-20-33,9.0,4635.333333333333
+4_90%,2025-10-22-20-20-33,12.0,4569.666666666667
+4_90%,2025-10-22-20-20-33,15.0,4554.0
+4_90%,2025-10-22-20-20-33,18.0,4577.333333333333
+4_90%,2025-10-22-20-20-33,21.0,4600.333333333333
+4_90%,2025-10-22-20-20-33,24.0,4563.0
+4_90%,2025-10-22-20-20-33,27.0,4564.333333333333
+4_90%,2025-10-22-20-20-33,30.0,4436.0
+4_90%,2025-10-22-20-20-33,33.0,3884.6666666666665
+4_90%,2025-10-22-20-20-33,36.0,3925.6666666666665
+4_90%,2025-10-22-20-20-33,39.0,3812.6666666666665
+4_90%,2025-10-22-20-20-33,42.0,3862.6666666666665
+4_90%,2025-10-22-20-20-33,45.0,3777.0
+4_90%,2025-10-22-20-20-33,48.0,3692.6666666666665
+4_90%,2025-10-22-20-20-33,51.0,3770.0
+4_90%,2025-10-22-20-20-33,54.0,3782.3333333333335
+4_90%,2025-10-22-20-20-33,57.0,3897.6666666666665
+4_90%,2025-10-22-20-20-33,60.0,3826.6666666666665
policy1,2025-10-22-17-47-54,3.0,4593.333333333333
policy1,2025-10-22-17-47-54,6.0,4612.0
policy1,2025-10-22-17-47-54,9.0,4510.333333333333
policy1,2025-10-22-17-47-54,12.0,4445.0
policy1,2025-10-22-17-47-54,15.0,4435.666666666667
policy1,2025-10-22-17-47-54,18.0,4570.333333333333
policy1,2025-10-22-17-47-54,21.0,4557.666666666667
policy1,2025-10-22-17-47-54,24.0,4514.0
policy1,2025-10-22-17-47-54,27.0,4492.0
policy1,2025-10-22-17-47-54,30.0,4527.0
policy1,2025-10-22-17-47-54,33.0,4494.333333333333
policy1,2025-10-22-17-47-54,36.0,4504.0
policy1,2025-10-22-17-47-54,39.0,4419.333333333333
policy1,2025-10-22-17-47-54,42.0,4400.333333333333
policy1,2025-10-22-17-47-54,45.0,4448.0
policy1,2025-10-22-17-47-54,48.0,4549.333333333333
policy1,2025-10-22-17-47-54,51.0,4410.333333333333
policy1,2025-10-22-17-47-54,54.0,4390.666666666667
policy1,2025-10-22-17-47-54,57.0,4506.0
policy1,2025-10-22-17-47-54,60.0,4550.333333333333
policy1,2025-10-22-19-59-36,3.0,4600.666666666667
policy1,2025-10-22-19-59-36,6.0,4595.0
policy1,2025-10-22-19-59-36,9.0,4710.0
policy1,2025-10-22-19-59-36,12.0,4482.666666666667
policy1,2025-10-22-19-59-36,15.0,4633.666666666667
policy1,2025-10-22-19-59-36,18.0,4692.0
policy1,2025-10-22-19-59-36,21.0,4671.0
policy1,2025-10-22-19-59-36,24.0,4703.0
policy1,2025-10-22-19-59-36,27.0,4568.0
policy1,2025-10-22-19-59-36,30.0,4603.0
policy1,2025-10-22-19-59-36,33.0,4586.666666666667
policy1,2025-10-22-19-59-36,36.0,4558.666666666667
policy1,2025-10-22-19-59-36,39.0,4638.333333333333
policy1,2025-10-22-19-59-36,42.0,4621.666666666667
policy1,2025-10-22-19-59-36,45.0,4695.666666666667
policy1,2025-10-22-19-59-36,48.0,4652.333333333333
policy1,2025-10-22-19-59-36,51.0,4695.666666666667
policy1,2025-10-22-19-59-36,54.0,4693.333333333333
policy1,2025-10-22-19-59-36,57.0,4663.0
policy1,2025-10-22-19-59-36,60.0,4681.0
policy1,2025-10-22-20-02-36,3.0,4723.0
policy1,2025-10-22-20-02-36,6.0,4691.333333333333
policy1,2025-10-22-20-02-36,9.0,4695.333333333333
policy1,2025-10-22-20-02-36,12.0,4660.0
policy1,2025-10-22-20-02-36,15.0,4716.0
policy1,2025-10-22-20-02-36,18.0,4688.0
policy1,2025-10-22-20-02-36,21.0,4629.333333333333
policy1,2025-10-22-20-02-36,24.0,4663.666666666667
policy1,2025-10-22-20-02-36,27.0,4636.666666666667
policy1,2025-10-22-20-02-36,30.0,4667.333333333333
policy1,2025-10-22-20-02-36,33.0,4656.666666666667
policy1,2025-10-22-20-02-36,36.0,4542.333333333333
policy1,2025-10-22-20-02-36,39.0,4625.666666666667
policy1,2025-10-22-20-02-36,42.0,4604.666666666667
policy1,2025-10-22-20-02-36,45.0,4717.333333333333
policy1,2025-10-22-20-02-36,48.0,4616.333333333333
policy1,2025-10-22-20-02-36,51.0,4708.333333333333
policy1,2025-10-22-20-02-36,54.0,4602.0
policy1,2025-10-22-20-02-36,57.0,4707.666666666667
policy1,2025-10-22-20-02-36,60.0,4648.333333333333
policy5,2025-10-22-17-50-54,3.0,3689.3333333333335
policy5,2025-10-22-17-50-54,6.0,3743.6666666666665
policy5,2025-10-22-17-50-54,9.0,3638.0
policy5,2025-10-22-17-50-54,12.0,3652.3333333333335
policy5,2025-10-22-17-50-54,15.0,3722.0
policy5,2025-10-22-17-50-54,18.0,3527.0
policy5,2025-10-22-17-50-54,21.0,3641.0
policy5,2025-10-22-17-50-54,24.0,3622.0
policy5,2025-10-22-17-50-54,27.0,3619.3333333333335
policy5,2025-10-22-17-50-54,30.0,3550.0
policy5,2025-10-22-17-50-54,33.0,3711.0
policy5,2025-10-22-17-50-54,36.0,3647.3333333333335
policy5,2025-10-22-17-50-54,39.0,3712.3333333333335
policy5,2025-10-22-17-50-54,42.0,3743.3333333333335
policy5,2025-10-22-17-50-54,45.0,3726.6666666666665
policy5,2025-10-22-17-50-54,48.0,3779.0
policy5,2025-10-22-17-50-54,51.0,3711.0
policy5,2025-10-22-17-50-54,54.0,3707.3333333333335
policy5,2025-10-22-17-50-54,57.0,3716.3333333333335
policy5,2025-10-22-17-50-54,60.0,3708.0
policy5,2025-10-22-20-05-36,3.0,3805.6666666666665
policy5,2025-10-22-20-05-36,6.0,3765.6666666666665
policy5,2025-10-22-20-05-36,9.0,3774.3333333333335
policy5,2025-10-22-20-05-36,12.0,3838.6666666666665
policy5,2025-10-22-20-05-36,15.0,3778.6666666666665
policy5,2025-10-22-20-05-36,18.0,3780.3333333333335
policy5,2025-10-22-20-05-36,21.0,3812.0
policy5,2025-10-22-20-05-36,24.0,3725.0
policy5,2025-10-22-20-05-36,27.0,3792.6666666666665
policy5,2025-10-22-20-05-36,30.0,3781.0
policy5,2025-10-22-20-05-36,33.0,3743.0
policy5,2025-10-22-20-05-36,36.0,3817.3333333333335
policy5,2025-10-22-20-05-36,39.0,3728.3333333333335
policy5,2025-10-22-20-05-36,42.0,3803.0
policy5,2025-10-22-20-05-36,45.0,3828.0
policy5,2025-10-22-20-05-36,48.0,3713.0
policy5,2025-10-22-20-05-36,51.0,3821.3333333333335
policy5,2025-10-22-20-05-36,54.0,3861.3333333333335
policy5,2025-10-22-20-05-36,57.0,3763.0
policy5,2025-10-22-20-05-36,60.0,3793.6666666666665
policy5,2025-10-22-20-08-35,3.0,3776.6666666666665
policy5,2025-10-22-20-08-35,6.0,3747.3333333333335
policy5,2025-10-22-20-08-35,9.0,3742.3333333333335
policy5,2025-10-22-20-08-35,12.0,3845.3333333333335
policy5,2025-10-22-20-08-35,15.0,3794.0
policy5,2025-10-22-20-08-35,18.0,3782.0
policy5,2025-10-22-20-08-35,21.0,3769.6666666666665
policy5,2025-10-22-20-08-35,24.0,3663.0
policy5,2025-10-22-20-08-35,27.0,3738.0
policy5,2025-10-22-20-08-35,30.0,3796.6666666666665
policy5,2025-10-22-20-08-35,33.0,3711.3333333333335
policy5,2025-10-22-20-08-35,36.0,3756.6666666666665
policy5,2025-10-22-20-08-35,39.0,3807.6666666666665
policy5,2025-10-22-20-08-35,42.0,3748.0
policy5,2025-10-22-20-08-35,45.0,3846.3333333333335
policy5,2025-10-22-20-08-35,48.0,3800.6666666666665
policy5,2025-10-22-20-08-35,51.0,3767.6666666666665
policy5,2025-10-22-20-08-35,54.0,3896.0
policy5,2025-10-22-20-08-35,57.0,3839.6666666666665
policy5,2025-10-22-20-08-35,60.0,3748.0
