experiment_name,num_clients,num_byz_clients,tput_per_correct_client,tput_std_dev,exp_timestamp
ddos,20,0,196.59833333333333,0.7674271590479742,2025-11-20-15-05-03
ddos,20,2,191.25,1.7596512577836565,2025-11-20-15-12-25
ddos,20,5,183.69333333333336,2.4475514165197674,2025-11-20-15-19-46
ignore-val-ideal,20,0,195.04833333333335,1.1414812885736412,2025-11-20-15-27-07
ignore-val-ideal,20,2,195.54074074074072,2.2371946589205614,2025-11-20-15-34-29
ignore-val-ideal,20,5,186.62444444444444,4.456838274764682,2025-11-20-15-41-51
ignore-val-pessimistic,20,0,190.63833333333332,5.710360697735796,2025-11-20-15-49-13
ignore-val-pessimistic,20,2,190.67222222222225,1.732286637212229,2025-11-20-15-56-34
ignore-val-pessimistic,20,5,185.04444444444445,9.91256751346465,2025-11-20-16-03-56
