experiment_name,num_clients,num_byz_clients,tput_per_correct_client,tput_std_dev,exp_timestamp
ddos-delay0,20,0,196.17666666666668,1.3339077709948581,2026-03-18-11-37-26
ddos-delay0,20,1,193.0982456140351,1.6545289018145244,2026-03-18-11-39-55
ddos-delay0,20,2,194.2462962962963,2.4585754653475633,2026-03-18-11-42-23
ddos-delay0,20,3,190.75294117647059,2.346778489982757,2026-03-18-11-44-51
ddos-delay0,20,4,191.21458333333334,0.8665785211585451,2026-03-18-11-47-19
ddos-delay0,20,5,187.64,2.5135568929244974,2026-03-18-11-49-48
ddos-delay2,20,0,100.52666666666667,0.4024195826097883,2026-03-18-11-52-16
ddos-delay2,20,1,98.9438596491228,0.6608125032053057,2026-03-18-11-54-43
ddos-delay2,20,2,97.86851851851851,0.37372392421721845,2026-03-18-11-57-10
ddos-delay2,20,3,97.09019607843139,0.39594554653006736,2026-03-18-11-59-38
ddos-delay2,20,4,94.68958333333333,0.37032893286714375,2026-03-18-12-02-05
ddos-delay2,20,5,93.30666666666666,0.7318383028970947,2026-03-18-12-04-33
ddos-delay4,20,0,63.959999999999994,0.2509863582882224,2026-03-18-12-07-01
ddos-delay4,20,1,61.329824561403505,0.8404066282727094,2026-03-18-12-09-28
ddos-delay4,20,2,59.55185185185184,0.6918972894252559,2026-03-18-12-11-55
ddos-delay4,20,3,56.51176470588235,2.2031209295146192,2026-03-18-12-14-22
ddos-delay4,20,4,55.920833333333334,0.42284311073528985,2026-03-18-12-16-50
ddos-delay4,20,5,48.14666666666666,0.2999470852804769,2026-03-18-12-19-17
ignore-val-delay0,20,0,193.52666666666667,1.0459948676537096,2026-03-18-12-21-44
ignore-val-delay0,20,1,192.9245614035088,1.4766011232533247,2026-03-18-12-24-12
ignore-val-delay0,20,2,191.31296296296298,1.443449883845995,2026-03-18-12-26-40
ignore-val-delay0,20,3,190.98039215686273,1.5347393383246892,2026-03-18-12-29-08
ignore-val-delay0,20,4,190.45833333333334,1.0481376782620644,2026-03-18-12-31-36
ignore-val-delay0,20,5,189.82666666666665,1.9250314365604615,2026-03-18-12-34-04
ignore-val-delay2,20,0,96.34666666666666,0.1321880637974785,2026-03-18-12-36-32
ignore-val-delay2,20,1,96.1456140350877,0.10256616432175766,2026-03-18-12-39-00
ignore-val-delay2,20,2,96.27592592592593,0.08149385923018436,2026-03-18-12-41-27
ignore-val-delay2,20,3,96.31960784313725,0.10610452362948675,2026-03-18-12-43-54
ignore-val-delay2,20,4,96.23333333333333,0.07302967433401973,2026-03-18-12-46-21
ignore-val-delay2,20,5,95.84,0.1723783214742683,2026-03-18-12-48-49
ignore-val-delay4,20,0,50.01833333333333,0.05564612500498366,2026-03-18-12-51-16
ignore-val-delay4,20,1,49.90701754385965,0.05279701096152889,2026-03-18-12-53-44
ignore-val-delay4,20,2,49.875925925925934,0.040913675351788394,2026-03-18-12-56-11
ignore-val-delay4,20,3,49.962745098039214,0.05637468026661849,2026-03-18-12-58-38
ignore-val-delay4,20,4,50.02708333333333,0.07524650847073909,2026-03-18-13-01-06
ignore-val-delay4,20,5,49.95555555555555,0.0783426201857344,2026-03-18-13-03-33
